phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Cerambycidae	Lepturalia nigripes
Arthropoda	Insecta	Coleoptera	Cerambycidae	Lepturobosca virens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Menesia albifrons
Arthropoda	Insecta	Coleoptera	Cerambycidae	Menesia bipunctata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Menesia flavotecta
Arthropoda	Insecta	Coleoptera	Cerambycidae	Menesia sulphurata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Mesosa curculionides
Arthropoda	Insecta	Coleoptera	Cerambycidae	Mesosa curculionoides
Arthropoda	Insecta	Coleoptera	Cerambycidae	Mesosa myops
Arthropoda	Insecta	Coleoptera	Cerambycidae	Mesosa nebulosa
Arthropoda	Insecta	Coleoptera	Cerambycidae	Moechotypa diphysis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Molorchus minor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Molorchus umbellatarum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus galloprovincialis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus guttulatus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus saltuarius
Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus sartor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus sutor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus urussovii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Morimus asper
Arthropoda	Insecta	Coleoptera	Cerambycidae	Nathrius brevipennis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Necydalis major
Arthropoda	Insecta	Coleoptera	Cerambycidae	Necydalis ulmi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Neodorcadion bilineatum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Neodorcadion exornatum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Niphona picticornis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Nivellia sanguinosa
Arthropoda	Insecta	Coleoptera	Cerambycidae	Nothorhina punctata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oberea linearis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oberea moravica
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oberea oculata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oberea pupillata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oberea vittata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Obrium brevicorne
Arthropoda	Insecta	Coleoptera	Cerambycidae	Obrium brunneum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Obrium cantharinum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Obrium obscuripenne
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oedecnema gebleri
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oplosia cinerea
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oplosia suvorovi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oupyrrhidium cinnabarinum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oxymirus cursor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Oxypleurus nodieri
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pachyta lamed
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pachyta quadrimaculata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pachytodes cerambyciformis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pachytodes erraticus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Parmena balteus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Parmena meregallii
