species	marker_code	kingdom
Arcyria minuta	COI-5P	Animalia
Orchomenella minuta	COI-5P	Animalia
Phytomyza tetrasticha	COI-5P	Animalia
Trichuris suis	COI-5P	Animalia
Cricotopus pilosellus	COI-5P	Animalia
Xyloperthella crinitarsis	COI-5P	Animalia
Circulifer haematoceps	COI-5P	Animalia
Pergamasus digitulus	COI-5P	Animalia
Saemundssonia thompsoni	COI-5P	Animalia
Eteone barbata	COI-5P	Animalia
Gibbula magus	COI-5P	Animalia
Lactarius violascens	COI-5P	Animalia
Bidens schimperi	COI-5P	Animalia
Pseudosmittia albipennis	COI-5P	Animalia
Amaurodon cyaneus	COI-5P	Animalia
Scandix balansae	COI-5P	Animalia
Parapholis filiformis	COI-5P	Animalia
Frommeëlla mexicana	COI-5P	Animalia
Capillaria anatis	COI-5P	Animalia
Ophiognomonia leptostyla	COI-5P	Animalia
Cephalothrix simula	COI-5P	Animalia
Orthotrichum comosum	COI-5P	Animalia
Probles xanthopus	COI-5P	Animalia
Araucaria heterophylla	COI-5P	Animalia
Rubus insularis	COI-5P	Animalia
Diadegma cinnabaritor	COI-5P	Animalia
Metastrongylus apri	COI-5P	Animalia
Lactarius hysginus	COI-5P	Animalia
Rumex heterophyllus	COI-5P	Animalia
Uromyces appendiculatus	COI-5P	Animalia
Senecio helwingii	COI-5P	Animalia
Leptochloa fusca	COI-5P	Animalia
Iberis odorata	COI-5P	Animalia
Epicladonia sandstedei	COI-5P	Animalia
Euphthiracarus monodactylus	COI-5P	Animalia
Physarum lenticulare	COI-5P	Animalia
Myxilla rosacea	COI-5P	Animalia
Mantis religiosa	COI-5P	Animalia
Hordeum murinum	COI-5P	Animalia
Splanchnonema foedans	COI-5P	Animalia
Psylliostachys suworowii	COI-5P	Animalia
Alliphis sculpturatus	COI-5P	Animalia
Cortinarius diasemospermus	COI-5P	Animalia
Allium subhirsutum	COI-5P	Animalia
Stenopleustes latipes	COI-5P	Animalia
Wisteria sinensis	COI-5P	Animalia
Alyssum simplex	COI-5P	Animalia
Rubus schipperi	COI-5P	Animalia
Symphoricarpos orbiculatus	COI-5P	Animalia
Eniochthonius minutissimus	COI-5P	Animalia
Eriophyes tomentosae	COI-5P	Animalia
Iania pictifrons	COI-5P	Animalia
Cosmos diversifolius	COI-5P	Animalia
Tremella mesenterica	COI-5P	Animalia
Phyllodoce groenlandica	COI-5P	Animalia
Cerodontha pygmella	COI-5P	Animalia
Phaeographis dendritica	COI-5P	Animalia
Parabdellorhynchus pelecanus	COI-5P	Animalia
Cotula squalida	COI-5P	Animalia
Minilimosina bicuspis	COI-5P	Animalia
Onchocerca cervicalis	COI-5P	Animalia
Zercon triangularis	COI-5P	Animalia
Ramularia rhabdospora	COI-5P	Animalia
Urtica pilulifera	COI-5P	Animalia
Pachylaelaps tesselatus	COI-5P	Animalia
Pholoe baltica	COI-5P	Animalia
Leucospis dorsigera	COI-5P	Animalia
Prunella laciniata	COI-5P	Animalia
Tetrameres fissispina	COI-5P	Animalia
Caryospora striata	COI-5P	Animalia
Milesina dieteliana	COI-5P	Animalia
Lindneromyia hungarica	COI-5P	Animalia
Stenochrus portoricensis	COI-5P	Animalia
Psathyrella effibulata	COI-5P	Animalia
Neurigona abdominalis	COI-5P	Animalia
Linaria bipartita	COI-5P	Animalia
Echinochloa colona	COI-5P	Animalia
Cortinarius pseudomalachius	COI-5P	Animalia
Cixius dubius	COI-5P	Animalia
Mompha lacteella	COI-5P	Animalia
Saperda perforata	COI-5P	Animalia
Chromaphis juglandicola	COI-5P	Animalia
Sphaeronaemella fimicola	COI-5P	Animalia
Russula integra	COI-5P	Animalia
Elymus repens	COI-5P	Animalia
Encentrum sutor	COI-5P	Animalia
Euphorbia dentata	COI-5P	Animalia
Rubus bellardii	COI-5P	Animalia
Ascaris lumbricoides	COI-5P	Animalia
Pholiota pityrodes	COI-5P	Animalia
Livilla ulicis	COI-5P	Animalia
Ranunculus pseudofluitans	COI-5P	Animalia
Calvolia hagensis	COI-5P	Animalia
Amaurochaete atra	COI-5P	Animalia
